digit,fill_rate,inv_clusters,enclosed_ratio,p0x,p0y,a0,d0,p1x,p1y,a1,d1,p2x,p2y,a2,d2
1,0.26720647773279355,1,2.9068825910931175,11,22,-1.8925468811915387,2.7950849718747373,18,6,-2.1587989303424644,-2.23606797749979,13,12,-2.5535900500422257,-1.6770509831248424
0,0.5510835913312694,2,1.8761609907120742,9,22,2.0344439357957027,4.807401700618652,10,5,-1.9655874464946581,-5.5901699437494745,22,15,-2.3774678762164063,11.601771895323193
1,1.0350877192982457,1,12.719298245614034,13,17,1.5707963267948966,3.1622776601683795,12,19,-1.6475682180646747,-3.5003571246374277,13,10,1.5707963267948966,3.1622776601683795
4,0.22807017543859648,1,2.5228070175438595,8,8,2.5535900500422257,-2.576941016011038,18,17,2.7367008673047097,5.575865652773368,10,19,1.457645345204412,6.149186938124422
0,0.5872576177285319,2,1.5844875346260388,11,4,-1.9437840485949576,-11.761067301977004,23,18,-1.972376866903776,7.7515929896732185,5,19,1.9513027039072615,5.2068331172711035
0,0.47368421052631576,2,3.277511961722488,19,7,2.0005586058915852,-6.324555320336759,9,9,-2.5912067059130024,-2.892819103722852,13,23,-1.885028225879235,5.3851648071345055
7,0.3117408906882591,1,2.8623481781376516,7,7,-1.4909663410826592,-3.5355339059327378,14,21,-2.9584818363273095,-0.8700255424092153,12,8,-1.3078015951139772,-7.267220926874317
3,0.33746130030959753,1,2.0897832817337463,21,10,1.2937920038528699,-9.503288904374106,14,6,2.5378433201923571,-20.039024427351748,10,25,1.8631435929875337,10.791216407917137
5,0.43508771929824563,1,2.3157894736842106,9,15,1.6704649792860586,5.231380978171589,16,5,-2.399645385583876,-16.548744567052882,15,23,-2.3239476077570913,2.7900698550248464
3,0.4807017543859649,1,2.270175438596491,12,22,-2.6546934217785245,9.031195934094221,12,13,1.6614562139956417,33.11438509167881,12,4,2.4980915447965084,-15.051993223490369
8,0.5510835913312694,4,1.8761609907120742,8,11,-1.7539071440573806,-9.3287080235384,15,7,-1.4909663410826592,-6.839484584580628,8,18,-1.781889660017643,-6.15136885928451
9,0.4534412955465587,2,2.720647773279352,16,6,-2.2206667762068442,-12.562344526401109,15,17,-1.7539071440573806,9.328708023538407,13,23,-1.9513027039072615,3.5377429245212273
1,0.5578947368421052,1,7.6947368421052635,15,16,-1.8925468811915387,2.7950849718747373,14,18,1.4056476493802696,-6.082762530298219,16,6,1.7894652726688385,-4.589117562233507
3,0.4415204678362573,1,1.8508771929824561,12,14,1.8471236017699617,5.177832523211788,7,5,2.0032041023654346,-6.6585598858226405,17,24,-1.886766598747877,13.179318815646145
3,0.4298245614035088,1,1.8625730994152048,19,7,1.2742505177251962,-14.23024947075771,10,4,-1.7894652726688385,-7.182429490668861,13,23,-2.2281854315191483,9.688137075826287
1,0.3333333333333333,1,6.543859649122807,15,9,-2.3561944901923448,-5.050762722761053,15,16,-2.3561944901923448,2.1081851067789192,12,21,-2.677945044588987,-0.7774602526460412
2,0.5526315789473685,2,2.026315789473684,14,20,-1.5707963267948966,-4.7434164902525655,16,5,1.6304270399260659,-7.359673456643967,10,16,-2.1587989303424644,-3.9868067546814387
